id,idade_ingresso,ano_ingresso,tempo_entre_conclusao_em_ingresso,carga_horaria,forma_ingresso,curso,ano_conclusao,situacao_matricula
4892,19,2021,2,4073,Vestibular,Letras,0,Evadido
4893,21,2020,3,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4894,20,2022,1,4073,Vestibular,Letras,0,Matriculado
4895,18,2019,1,2850,SISU,Física,0,Matriculado
4896,27,2020,9,4073,SISU,Letras,0,Matriculado
4897,19,2018,2,3660,SISU,Engenharia de Produção,2022,Formado
4898,45,2022,16,4073,SISU,Letras,0,Evadido
4900,22,2021,5,3660,SISU,Engenharia de Produção,0,Matriculado
4901,30,2018,10,3660,SISU,Engenharia de Produção,0,Evadido
4913,20,2019,3,3660,SISU,Engenharia de Produção,0,Evadido
4914,21,2022,4,3660,SISU,Engenharia de Produção,0,Evadido
4915,19,2021,1,3310,Vestibular,Física,0,Matriculado
4916,29,2021,12,3660,Vestibular,Engenharia de Produção,0,Evadido
4919,21,2018,4,3690,Transferência externa,Engenharia de Produção,2022,Formado
4920,26,2021,9,3600,Vestibular,Engenharia Mecânica,0,Evadido
4922,19,2019,1,4073,Vestibular,Letras,0,Evadido
4923,18,2019,1,3660,SISU,Engenharia de Produção,0,Evadido
